1,530557E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
419983,3;Enemy;DeathBy;Gun
420813,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
421045,3;Enemy;Speed;ChangeTo;4,23
422802,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
422802,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
423052,2;Enemy;Speed;ChangeTo;4,260001
423803,3;Enemy;DeathBy;Gun
425055,1;Enemy;Speed;ChangeTo;4,290001
425800,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
427067,4;Enemy;Speed;ChangeTo;4,320001
429062,6;Enemy;DeathBy;Gun
429079,1;Enemy;Speed;ChangeTo;4,350001
429810,2;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;5
429810,2;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
430807,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
431088,8;Enemy;Speed;ChangeTo;4,380002
431578,9;Enemy;DeathBy;Gun
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432082,5;Enemy;DeathBy;LevelEnd
432335,7;Player;Health;IncreaseTo;100
433097,7;Enemy;Speed;ChangeTo;4,410002
435103,8;Scene;Load;5
447865,7;ButtonClick;Next
454611,5;ButtonClick;Next
470386,9;ButtonClick;Next
474164,4;ButtonClick;Next
523583,5;ButtonClick;Next
525355,7;ButtonClick;Play
528669,1;Player;Starting;Range;100
528669,1;Player;Starting;TimeBetweenBullets;0,2
528669,1;Player;Starting;DamagerPerShot;15
528669,1;Player;Starting;SuperPower;100
528669,1;Player;Starting;Health;140
528669,1;Scene;Load;6
538650,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
543646,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
548649,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
551647,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
552244,4;Enemy;DeathBy;Gun
554646,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
557652,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
558911,6;Enemy;DeathBy;Gun
563866,4;Enemy;DeathBy;Gun
