1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
284102,4;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
284102,4;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
284334,3;Enemy;Speed;ChangeTo;3,839999
285063,2;Enemy;DeathBy;Gun
285576,8;TextScore;ChangeTo;FANTASTYCZNIE
286340,9;Enemy;Speed;ChangeTo;3,869999
287649,7;Enemy;DeathBy;Gun
288347,8;Enemy;Speed;ChangeTo;3,899999
290112,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
290361,6;Enemy;Speed;ChangeTo;3,929999
291106,4;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
291106,4;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
291752,5;Player;Health;DecreaseTo;90
292366,7;Enemy;Speed;ChangeTo;3,959999
294382;Enemy;Speed;ChangeTo;3,989999
295110,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
295311,1;Enemy;DeathBy;Gun
296395,2;Enemy;Speed;ChangeTo;4,019999
297396,1;Enemy;DeathBy;Gun
298110,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
298110,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
298410,8;Enemy;Speed;ChangeTo;4,049999
299724,9;Enemy;DeathBy;Gun
300106;Enemy;0;RegularSpawn;AtSpawnPoint;0
300422;Enemy;Speed;ChangeTo;4,079999
301234,3;Enemy;DeathBy;Gun
302427;Enemy;Speed;ChangeTo;4,11
302526,4;Enemy;DeathBy;Gun
304435;Enemy;Speed;ChangeTo;4,14
305114,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;3
