1,530633E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
352167,2;Enemy;DeathBy;LevelEnd
352167,2;Enemy;DeathBy;LevelEnd
352531,7;Enemy;Speed;ChangeTo;4,470002
353999;Scene;Load;5
355708,8;ButtonClick;Next
357729,9;ButtonClick;Next
361374,9;ButtonClick;Next
362998,6;ButtonClick;Next
365665,4;ButtonClick;Next
366858,2;ButtonClick;Play
370176,3;Player;Starting;Range;100
370176,3;Player;Starting;TimeBetweenBullets;0,2
370176,3;Player;Starting;DamagerPerShot;15
370176,3;Player;Starting;SuperPower;100
370176,3;Player;Starting;Health;140
370176,3;Scene;Load;6
380152,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
385016,7;Enemy;DeathBy;Gun
385149,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
390152,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
393141,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
395129,2;Enemy;DeathBy;Gun
396156,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
398144,3;Enemy;DeathBy;Gun
399154,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
401375,6;Enemy;DeathBy;Gun
405242,3;Enemy;DeathBy;Gun
406153,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
407147,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
408141,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
408257,3;Enemy;DeathBy;Gun
412133,9;Enemy;DeathBy;Gun
416434,2;Enemy;DeathBy;Gun
417146,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
418141,2;Enemy;0;RegularSpawn;AtSpawnPoint;0
418372,4;Enemy;DeathBy;Gun
419151,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
422033,7;Enemy;DeathBy;Gun
425181,3;Alert;NonAffectiveSpawn;Activation
426142,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
427417,8;Enemy;DeathBy;Gun
429140,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
430863,8;Enemy;DeathBy;Gun
432156,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
433664;Enemy;DeathBy;Gun
435144,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
436157;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
437333,4;Enemy;DeathBy;Gun
440150,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
440348,6;Enemy;DeathBy;Gun
442154,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
444009,8;Enemy;DeathBy;Gun
444142,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
445152,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
448153,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
451152,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
453140,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
454151;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
457613,6;Player;Health;DecreaseTo;120
458143,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
459060,5;Enemy;DeathBy;Gun
460154,1;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
460170,4;Alert;Enemy;SpeedChange
460170,4;Enemy;Speed;ChangeTo;3,03
460568,5;Enemy;DeathBy;Gun
461081,5;TextScore;ChangeTo;KIEPSKO
461644,8;Enemy;DeathBy;Gun
462141,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
462141,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
462175;Enemy;Speed;ChangeTo;3,06
464180,1;Enemy;Speed;ChangeTo;3,09
466151,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
466184,5;Enemy;Speed;ChangeTo;3,12
467526,4;Player;Health;DecreaseTo;100
467526,4;Slider;Health;DecreaseTo;112
467874,3;Player;Health;DecreaseTo;80
467874,3;Slider;Health;DecreaseTo;84
468189;Enemy;Speed;ChangeTo;3,15
470196,9;Enemy;Speed;ChangeTo;3,18
471151,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
471151,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
472146,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;5
472212,6;Enemy;Speed;ChangeTo;3,21
473143,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
474225,8;Enemy;Speed;ChangeTo;3,24
475108,4;Player;SuperPower;Time;2,713165
475108,4;Slider;SuperPower;DecreaseTo;45,73669
475108,4;Player;TimeBetweenTwoBullets;IncreaseTo;0,3
475108,4;Player;DamagePerShot;DecreaseTo;14
475108,4;Player;Range;DecreaseTo;90
475108,4;Player;SuperPower;Kill;0
