1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
25220;Joystick;Left;Horizontal;0;Vertical;0
25220;Joystick;Right;Horizontal;0;Vertical;0
25240;Joystick;Left;Horizontal;0;Vertical;0
25240;Joystick;Right;Horizontal;0;Vertical;0
25260;Joystick;Left;Horizontal;0;Vertical;0
25260;Joystick;Right;Horizontal;0;Vertical;0
25280;Joystick;Left;Horizontal;0;Vertical;0
25280;Joystick;Right;Horizontal;0;Vertical;0
25300;Joystick;Left;Horizontal;0;Vertical;0
25300;Joystick;Right;Horizontal;0;Vertical;0
25320;Joystick;Left;Horizontal;0;Vertical;0
25320;Joystick;Right;Horizontal;0;Vertical;0
25340;Joystick;Left;Horizontal;0;Vertical;0
25340;Joystick;Right;Horizontal;0;Vertical;0
25360;Joystick;Left;Horizontal;0;Vertical;0
25360;Joystick;Right;Horizontal;0;Vertical;0
25380;Joystick;Left;Horizontal;0;Vertical;0
25380;Joystick;Right;Horizontal;0;Vertical;0
25400;Joystick;Left;Horizontal;0;Vertical;0
25400;Joystick;Right;Horizontal;0;Vertical;0
25420;Joystick;Left;Horizontal;0;Vertical;0
25420;Joystick;Right;Horizontal;0;Vertical;0
25440;Joystick;Left;Horizontal;0;Vertical;0
25440;Joystick;Right;Horizontal;0;Vertical;0
25460;Joystick;Left;Horizontal;0;Vertical;0
25460;Joystick;Right;Horizontal;0;Vertical;0
25480;Joystick;Left;Horizontal;0;Vertical;0
25480;Joystick;Right;Horizontal;0;Vertical;0
25500;Joystick;Left;Horizontal;0;Vertical;0
25500;Joystick;Right;Horizontal;0;Vertical;0
25520;Joystick;Left;Horizontal;0;Vertical;0
25520;Joystick;Right;Horizontal;0;Vertical;0
25540;Joystick;Left;Horizontal;0;Vertical;0
25540;Joystick;Right;Horizontal;0;Vertical;0
25560;Joystick;Left;Horizontal;0;Vertical;0
25560;Joystick;Right;Horizontal;0;Vertical;0
25580;Joystick;Left;Horizontal;0;Vertical;0
25580;Joystick;Right;Horizontal;0;Vertical;0
25600;Joystick;Left;Horizontal;0;Vertical;0
25600;Joystick;Right;Horizontal;0;Vertical;0
